,average_offensiveness,created_on,hateful_meaning,is_about_class,is_about_disability,is_about_ethnicity,is_about_gender,is_about_nationality,is_about_religion,is_about_sexual_orientation,is_unambiguous,is_unambiguous_in,language,nonhateful_meaning,number_of_sightings,number_of_sightings_this_month,number_of_sightings_this_year,plural_of,term,transliteration_of,updated_on,variant_of,vocabulary_id
0,74.0,2016-03-28 22:11:28,"A person of African ethnicity, it  deshumanizes persons of African descent.  
",False,False,True,False,False,False,False,False,,por,A monkey,69,1,43,,Macaco,,2019-04-02 23:50:58,,3Yr2kTQQU
1,,2019-02-28 14:37:14,"A woman, analogous to the slur ""whore""",False,False,False,True,False,False,False,False,,por,,252,34,252,,rameira,,2019-02-28 14:53:57,,aoFdrcENE
2,65.0,2019-02-28 14:23:26,"A promiscuous woman, similar to the slur ""slut""",False,False,False,True,False,False,False,False,,por,,0,0,0,,galdéria,,2019-02-28 14:52:04,,DW12u7fDc
3,51.0,2019-02-28 14:13:28,Used to describe an ugly woman,False,False,False,True,False,False,False,False,,por,a cameo (carving),187,15,187,,camafeu,,2019-02-28 14:51:03,,imXsYzxmT
4,55.0,2019-02-28 14:27:49,[1]Used to describe someone ignorant; [2] a farmer,True,False,False,False,False,False,False,False,,por,,0,0,0,,labrego,,2019-02-28 14:27:49,,fw9yhbasx
5,51.0,2019-02-28 13:07:34,"A disabled person, comparable to the slur ""retard""",False,True,False,False,False,False,False,False,,por,,0,0,0,,def,,2019-02-28 13:24:30,,tFFTtvNTt
6,72.0,2019-02-28 13:02:35,Commonly used for people from India; someone of black and arabic mix,False,False,True,False,True,False,False,False,,por,,133,15,132,,monhé,,2019-02-28 13:13:55,,kVTavQ9gc
7,100.0,2019-01-09 18:42:42,,False,False,True,False,False,False,False,False,,por,,135,35,135,crioula,crioulas,,2019-01-09 18:42:51,,LBdfjAUUJ
8,100.0,2019-01-09 18:41:28,,False,False,True,False,False,False,False,False,,por,,266,25,266,,crioula,,2019-01-09 18:41:41,crioulo,jqadmKMEt
9,,2019-01-09 18:40:32,,False,False,True,False,False,False,False,False,,por,,96,8,96,crioulo,crioulos,,2019-01-09 18:40:40,,XomBGutGl
10,,2019-01-09 18:39:15,[1] Of mixed black and European descent [2] A black person and/or slave,False,False,True,False,False,False,False,False,,por,,303,17,303,,crioulo,,2019-01-09 18:39:23,,fcrBQWiUD
11,,2019-01-09 18:35:55,,False,False,False,False,False,True,False,False,,por,,0,0,0,giaour,giaours,,2019-01-09 18:36:04,,QAHNTJTQR
12,,2013-06-07 13:33:20,"In Sri Lanka, a person of mixed Portuguese and Sri Lankan (Sinhalese and Tamil) descent",False,False,True,False,True,False,False,False,LK,por,,112,20,112,,casado,,2019-01-07 18:01:54,,enpG2U6AF
13,,2018-11-01 20:38:40,A person with dark skin,False,False,True,False,False,False,False,False,,por,An ember or live coal,4,0,4,tição,tições,,2018-11-01 20:38:40,,595f7d5bb
14,50.0,2018-11-01 20:36:42,An inferior bloodline,False,False,True,False,False,False,False,False,,por,,55,4,49,sangue ruim,sangues ruins,,2018-11-01 20:36:42,,7JUGGPYTa
15,,2018-11-01 20:36:42,"A lesbian, equivalent of 'dyke'",False,False,False,True,False,False,True,False,,por,A big shoe,338,31,338,sapatão,sapatões,,2018-11-01 20:36:42,,ie7Wyeexj
16,,2018-11-01 20:36:35,A male homosexual,False,False,False,True,False,False,True,False,,por,Tails,208,13,176,rabeta,rabetas,,2018-11-01 20:36:35,,9noXFYauq
17,,2018-11-01 20:36:33,refering to a dark-skinned person,False,False,True,False,False,False,False,False,,por,Can refer merely to the colour black,621,51,470,preta,pretas,,2018-11-01 20:36:33,,qvmgLbwYi
18,96.0,2018-11-01 20:36:33,refering to a dark-skinned person,False,False,True,False,False,False,False,False,,por,Can refer merely to the colour black,526,31,400,preto,pretos,,2018-11-01 20:36:33,,Uaf3zRBnE
19,,2018-11-01 20:36:26,"Queer, homosexual",False,False,False,False,False,False,True,False,,por,,415,25,326,paneleira,paneleiras,,2018-11-01 20:36:26,,ithLbtjmi
20,,2018-11-01 20:36:26,"Queer, homosexual",False,False,False,False,False,False,True,False,,por,,607,41,468,paneleiro,paneleiros,,2018-11-01 20:36:26,,LbWXK4hqu
21,72.0,2018-11-01 20:36:12,Equivalent of 'nigga',False,False,True,False,False,False,False,False,,por,,626,28,483,nego,negos,,2018-11-01 20:36:12,,nLPXDezDf
22,,2018-11-01 20:36:11,Equivalent of 'nigga',False,False,True,False,False,False,False,False,,por,,592,30,463,nega,negas,,2018-11-01 20:36:11,,KXgNpsHFQ
23,89.0,2018-11-01 20:34:17,Lesbian,False,False,False,True,False,False,True,False,,por,,248,17,206,fufa,fufas,,2018-11-01 20:34:17,,PYELC8Bju
24,,2018-11-01 20:33:53,Ethnic slur directed at Italians,False,False,True,False,False,False,False,False,,por,,39,1,24,carcamana,carcamanos,,2018-11-01 20:33:53,,PxZn4y4mQ
25,,2018-11-01 20:33:36,A homosexual male,False,False,False,True,False,False,True,False,,por,,0,0,0,Bambi,Bambis,,2018-11-01 20:33:36,,LmwHFDUWR
26,,2018-11-01 19:42:44,A person with dark skin,False,False,True,False,False,False,False,False,,por,An ember or live coal,94,9,94,,tição,,2018-11-01 19:42:44,,jhEAtanKt
27,50.0,2018-11-01 19:42:38,An inferior bloodline,False,False,True,False,False,False,False,False,,por,,165,13,127,,sangue ruim,,2018-11-01 19:42:38,,GpxZm3qeJ
28,96.0,2018-11-01 19:42:36,refering to a dark-skinned person,False,False,True,False,False,False,False,False,,por,Can refer merely to the colour black,556,35,412,,preto,,2018-11-01 19:42:36,,RXBrLroku
29,,2018-11-01 19:42:36,A male homosexual,False,False,False,True,False,False,True,False,,por,A tail,323,15,237,,rabeta,,2018-11-01 19:42:36,,t2yam2szN
30,,2018-11-01 19:42:30,refering to a dark-skinned person,False,False,True,False,False,False,False,False,,por,Can refer merely to the colour black,466,40,352,,preta,,2018-11-01 19:42:30,,9wDk4zwuj
31,,2018-11-01 19:42:29,"Queer, homosexual",False,False,False,False,False,False,True,False,,por,,544,47,400,,paneleira,,2018-11-01 19:42:29,,jfnGcgYAK
32,,2018-11-01 19:42:29,"Queer, homosexual",False,False,False,False,False,False,True,False,,por,,518,40,388,,paneleiro,,2018-11-01 19:42:29,,zwrhxdJPB
33,100.0,2018-11-01 19:42:26,The characteristic of being African,False,False,True,False,False,False,False,False,,por,,381,22,306,,negritude,,2018-11-01 19:42:26,,zLeoe7ZqB
34,,2018-11-01 19:42:25,Equivalent of 'nigga',False,False,True,False,False,False,False,False,,por,,445,29,365,,nega,,2018-11-01 19:42:25,,FCiefUaEU
35,72.0,2018-11-01 19:42:25,Equivalent of 'nigga',False,False,True,False,False,False,False,False,,por,,427,32,322,,nego,,2018-11-01 19:42:25,,sJeFADGLW
36,89.0,2018-11-01 19:42:12,Lesbian,False,False,False,True,False,False,True,False,,por,,119,9,97,,fufa,,2018-11-01 19:42:12,,n2UxdMqDT
37,,2018-11-01 19:39:12,Ethnic slur directed at Italians,False,False,True,False,False,False,False,False,,por,,26,1,24,,carcamana,,2018-11-01 19:39:12,,ptnMoYqAf
38,,2018-11-01 19:39:12,Ethnic slur directed at Italians,False,False,True,False,False,False,False,False,,por,,2,0,1,,carcamanas,,2018-11-01 19:39:12,,gL4DdJosH
